Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Davisville,43.7043244,-79.3887901,Jules Cafe Patisserie,43.70413799694304,-79.38841260442167,Dessert Shop
Davisville,43.7043244,-79.3887901,Thobors Boulangerie Patisserie Café,43.704513877453266,-79.38861602551758,Café
Davisville,43.7043244,-79.3887901,XO Gelato,43.70517671239303,-79.3887930388649,Dessert Shop
Davisville,43.7043244,-79.3887901,Marigold Indian Bistro,43.702880859375,-79.38800811767578,Indian Restaurant
Davisville,43.7043244,-79.3887901,Viva Napoli,43.70575225315343,-79.38912464296774,Pizza Place
Davisville,43.7043244,-79.3887901,Zee Grill,43.70498511291793,-79.38847622354874,Seafood Restaurant
Davisville,43.7043244,-79.3887901,Starbucks,43.70608372289573,-79.38935494537283,Coffee Shop
Davisville,43.7043244,-79.3887901,Florentia Ristorante,43.703594,-79.3879846,Italian Restaurant
Davisville,43.7043244,-79.3887901,Sakae Sushi,43.70494407149989,-79.38870408604551,Sushi Restaurant
Davisville,43.7043244,-79.3887901,Positano,43.704558,-79.38863854,Italian Restaurant
Davisville,43.7043244,-79.3887901,Mastermind Toys,43.704839243420075,-79.38854629838522,Toy / Game Store
Davisville,43.7043244,-79.3887901,Second Cup,43.704344001380505,-79.38865888961692,Coffee Shop
Davisville,43.7043244,-79.3887901,Meow Cat Cafe,43.702927,-79.38819,Café
Davisville,43.7043244,-79.3887901,Pizza Pizza,43.70613821755869,-79.38929246805056,Pizza Place
Davisville,43.7043244,-79.3887901,Candy's Costume Shop,43.70591826811818,-79.38899874687195,Costume Shop
Davisville,43.7043244,-79.3887901,Hillside Cafe & Bakery,43.703733,-79.388242,Café
"Moore Park, Summerhill East",43.6895743,-79.38315990000002,Loring-Wyle Parkette,43.690270427217385,-79.3834375880377,Park
"Moore Park, Summerhill East",43.6895743,-79.38315990000002,Adam & Kelly's Mobile Auto,43.690754,-79.383398,Moving Target
"Moore Park, Summerhill East",43.6895743,-79.38315990000002,Handyman Painters,43.691288987503484,-79.38409566879272,Home Service
"Moore Park, Summerhill East",43.6895743,-79.38315990000002,Moose Basements,43.6910252243469,-79.38484668731688,Construction & Landscaping
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.68641229999999,-79.4000493,LCBO,43.686990631074885,-79.39923810519545,Liquor Store
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.68641229999999,-79.4000493,The Market By Longo’s,43.686711,-79.399536,Supermarket
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.68641229999999,-79.4000493,Starbucks,43.687100712578356,-79.39861193331016,Coffee Shop
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.68641229999999,-79.4000493,Imperial Plaza Rooftop,43.686747,-79.399083,Roof Deck
Rosedale,43.6795626,-79.37752940000001,Mooredale House,43.678630645646535,-79.38009142511322,Building
"Cabbagetown, St. James Town",43.667967,-79.3676753,Cranberries,43.6678427705951,-79.36940687874281,Diner
"Cabbagetown, St. James Town",43.667967,-79.3676753,F'Amelia,43.66753590663226,-79.36861331485827,Italian Restaurant
"Cabbagetown, St. James Town",43.667967,-79.3676753,Butter Chicken Factory,43.66707247004843,-79.36918422958169,Indian Restaurant
"Cabbagetown, St. James Town",43.667967,-79.3676753,Kingyo Toronto,43.66589495808371,-79.36841520638596,Japanese Restaurant
"Cabbagetown, St. James Town",43.667967,-79.3676753,Murgatroid,43.66738149016019,-79.36931129229457,Restaurant
"Cabbagetown, St. James Town",43.667967,-79.3676753,Merryberry Cafe + Bistro,43.66663020301851,-79.36879184199822,Café
"Cabbagetown, St. James Town",43.667967,-79.3676753,Cabbagetown Brew,43.66692279890784,-79.36928929560437,Café
"Cabbagetown, St. James Town",43.667967,-79.3676753,Absolute Bakery & Café,43.667469462461995,-79.36927654747196,Bakery
"Cabbagetown, St. James Town",43.667967,-79.3676753,Toronto Dance Theatre,43.66623230619368,-79.36707506629983,General Entertainment
"Cabbagetown, St. James Town",43.667967,-79.3676753,Tim Hortons,43.66716925802294,-79.36884865164751,Coffee Shop
"Cabbagetown, St. James Town",43.667967,-79.3676753,The Beer Store,43.6664079,-79.368833,Beer Store
"Cabbagetown, St. James Town",43.667967,-79.3676753,Pizza Pizza,43.667178738521734,-79.36966873777858,Pizza Place
"Cabbagetown, St. James Town",43.667967,-79.3676753,Tim Hortons,43.665785871990316,-79.36828404664993,Coffee Shop
"Cabbagetown, St. James Town",43.667967,-79.3676753,Alice's Place,43.66695309566915,-79.36925678333014,Dive Bar
"Cabbagetown, St. James Town",43.667967,-79.3676753,Pizza Pizza,43.66809038080825,-79.37027389227195,Pizza Place
"Cabbagetown, St. James Town",43.667967,-79.3676753,Rock Towers,43.668132,-79.369684,Outdoor Sculpture
"Cabbagetown, St. James Town",43.667967,-79.3676753,El Charro,43.667606,-79.36949,Restaurant
"Cabbagetown, St. James Town",43.667967,-79.3676753,Staij & Co Café and Pastry Boutique,43.666862703979966,-79.36922818422318,Café
Church and Wellesley,43.6658599,-79.38315990000002,Storm Crow Manor,43.66683985695023,-79.38159278029707,Theme Restaurant
Church and Wellesley,43.6658599,-79.38315990000002,The Alley,43.66592244798498,-79.38556672752236,Bubble Tea Shop
Church and Wellesley,43.6658599,-79.38315990000002,Smith,43.66692666745884,-79.38142135954267,Breakfast Spot
Church and Wellesley,43.6658599,-79.38315990000002,DanceLifeX Centre,43.66695583448771,-79.3852972984314,Dance Studio
Church and Wellesley,43.6658599,-79.38315990000002,Fabarnak,43.66637677585409,-79.38096396850409,Restaurant
Church and Wellesley,43.6658599,-79.38315990000002,Sansotei Ramen 三草亭,43.666734794517005,-79.3853530009483,Ramen Restaurant
Church and Wellesley,43.6658599,-79.38315990000002,Ho's Team Barber Shop,43.66563031656884,-79.38135926650858,Salon / Barbershop
Church and Wellesley,43.6658599,-79.38315990000002,Como En Casa,43.66516,-79.384796,Mexican Restaurant
Church and Wellesley,43.6658599,-79.38315990000002,Barbara Hall Park,43.66687857011423,-79.38106777601625,Park
Church and Wellesley,43.6658599,-79.38315990000002,Glad Day Bookshop,43.66527119350875,-79.38078512672504,Bookstore
Church and Wellesley,43.6658599,-79.38315990000002,Wickson Social,43.66590450775969,-79.38571974166427,Gastropub
Church and Wellesley,43.6658599,-79.38315990000002,Coach House Restaurant,43.66499059853204,-79.38481415727767,Diner
Church and Wellesley,43.6658599,-79.38315990000002,DAVIDsTEA,43.66492997804687,-79.38063036396566,Tea Room
Church and Wellesley,43.6658599,-79.38315990000002,Riddle Room,43.665881092438454,-79.38493615023397,General Entertainment
Church and Wellesley,43.6658599,-79.38315990000002,Tokyo Grill,43.665085238149395,-79.38470692554789,Japanese Restaurant
Church and Wellesley,43.6658599,-79.38315990000002,Hero Certified Burgers,43.66562403029978,-79.38090430769088,Burger Joint
Church and Wellesley,43.6658599,-79.38315990000002,Ginger,43.665371542785785,-79.38084590182032,Vietnamese Restaurant
Church and Wellesley,43.6658599,-79.38315990000002,Starbucks,43.66500900374431,-79.38056421775902,Coffee Shop
Church and Wellesley,43.6658599,-79.38315990000002,Ethiopian House,43.6665987043968,-79.38566906742606,Ethiopian Restaurant
Church and Wellesley,43.6658599,-79.38315990000002,Baskin Robbins,43.66507308115074,-79.38068437615618,Ice Cream Shop
Church and Wellesley,43.6658599,-79.38315990000002,Dal Moro's Fresh Pasta To Go,43.66664070494267,-79.38540023837237,Italian Restaurant
Church and Wellesley,43.6658599,-79.38315990000002,Si Lom,43.66501007731949,-79.38068288199048,Thai Restaurant
Church and Wellesley,43.6658599,-79.38315990000002,Wine Rack,43.66580230870318,-79.38050712395066,Wine Shop
Church and Wellesley,43.6658599,-79.38315990000002,Openmat Mixed Martial Arts,43.666171607941095,-79.3847667237342,Martial Arts Dojo
Church and Wellesley,43.6658599,-79.38315990000002,Seduction,43.66562020759618,-79.38468138721245,Adult Boutique
"Harbourfront, Regent Park",43.6542599,-79.3606359,Roselle Desserts,43.653446723052674,-79.3620167174383,Bakery
"Harbourfront, Regent Park",43.6542599,-79.3606359,Tandem Coffee,43.65355870959944,-79.36180945913513,Coffee Shop
"Harbourfront, Regent Park",43.6542599,-79.3606359,Body Blitz Spa East,43.65473505045365,-79.35987433132891,Spa
"Harbourfront, Regent Park",43.6542599,-79.3606359,Toronto Cooper Koo Family Cherry St YMCA Centre,43.65319052672638,-79.35794700053884,Gym / Fitness Center
"Harbourfront, Regent Park",43.6542599,-79.3606359,Morning Glory Cafe,43.653946942635294,-79.36114884214422,Breakfast Spot
"Harbourfront, Regent Park",43.6542599,-79.3606359,The Extension Room,43.65331304337331,-79.35972538072777,Gym / Fitness Center
"Harbourfront, Regent Park",43.6542599,-79.3606359,Buster's Sea Cove Truck,43.65364665307943,-79.35787780917855,Food Truck
"Harbourfront, Regent Park",43.6542599,-79.3606359,Enoch Turner Schoolhouse,43.65287311275056,-79.36167245046332,History Museum
"Harbourfront, Regent Park",43.6542599,-79.3606359,King Deli Cafe,43.65390613999999,-79.361147,Sandwich Place
"Ryerson, Garden District",43.6571618,-79.37893709999999,UNIQLO ユニクロ,43.65591027779457,-79.38064099181345,Clothing Store
"Ryerson, Garden District",43.6571618,-79.37893709999999,Burrito Boyz,43.656265264409015,-79.37834318376771,Burrito Place
"Ryerson, Garden District",43.6571618,-79.37893709999999,Blaze Pizza,43.656518,-79.380015,Pizza Place
"Ryerson, Garden District",43.6571618,-79.37893709999999,Silver Snail Comics,43.65703137958407,-79.38140310220501,Comic Shop
"Ryerson, Garden District",43.6571618,-79.37893709999999,Yonge-Dundas Square,43.65605389742188,-79.38049504264389,Plaza
"Ryerson, Garden District",43.6571618,-79.37893709999999,DAVIDsTEA,43.65658619027106,-79.38116704725516,Tea Room
"Ryerson, Garden District",43.6571618,-79.37893709999999,Hokkaido Ramen Santouka らーめん山頭火,43.65643520293576,-79.37758637997793,Ramen Restaurant
"Ryerson, Garden District",43.6571618,-79.37893709999999,The Senator Restaurant,43.65564091455335,-79.37919882575557,Diner
"Ryerson, Garden District",43.6571618,-79.37893709999999,Page One Cafe,43.65777161112601,-79.3760725691681,Café
"Ryerson, Garden District",43.6571618,-79.37893709999999,Five Guys,43.65710635305761,-79.38130606340378,Burger Joint
"Ryerson, Garden District",43.6571618,-79.37893709999999,Tacos 101,43.656636132918166,-79.37696796225362,Taco Place
"Ryerson, Garden District",43.6571618,-79.37893709999999,Ed Mirvish Theatre,43.655101567321054,-79.37976762131545,Theater
"Ryerson, Garden District",43.6571618,-79.37893709999999,The Black Canary Espresso Bar,43.65702925121356,-79.38138512728051,Café
"Ryerson, Garden District",43.6571618,-79.37893709999999,Salad King,43.65760101432665,-79.38161963017174,Thai Restaurant
"Ryerson, Garden District",43.6571618,-79.37893709999999,Cineplex Cinemas Yonge-Dundas,43.65612555948613,-79.38039005666784,Movie Theater
"Ryerson, Garden District",43.6571618,-79.37893709999999,Jazz Bistro,43.65567828473835,-79.37927565514764,Music Venue
"Ryerson, Garden District",43.6571618,-79.37893709999999,Oakham Café,43.658077944767534,-79.37831497990125,Café
"Ryerson, Garden District",43.6571618,-79.37893709999999,Ryerson Image Centre,43.65752337161094,-79.37945958709186,Art Gallery
"Ryerson, Garden District",43.6571618,-79.37893709999999,The 3 Brewers,43.655474284721,-79.38041324445061,Beer Bar
"Ryerson, Garden District",43.6571618,-79.37893709999999,Milestones,43.65630763877396,-79.38082230024877,Fast Food Restaurant
"Ryerson, Garden District",43.6571618,-79.37893709999999,306 Yonge Street - Jordan Store,43.65649471160899,-79.38101531134684,Sporting Goods Shop
"Ryerson, Garden District",43.6571618,-79.37893709999999,Infuse Cafe,43.658068043552504,-79.38172645275614,Coffee Shop
"Ryerson, Garden District",43.6571618,-79.37893709999999,Balzac's Coffee,43.65785440672277,-79.37919981155157,Coffee Shop
"Ryerson, Garden District",43.6571618,-79.37893709999999,Tim Hortons,43.656755,-79.380512,Coffee Shop
"Ryerson, Garden District",43.6571618,-79.37893709999999,Kabul Express,43.65669146835466,-79.37664313658586,Middle Eastern Restaurant
St. James Town,43.6514939,-79.3754179,Gyu-Kaku Japanese BBQ,43.651422275497914,-79.37504693687086,Japanese Restaurant
St. James Town,43.6514939,-79.3754179,Crepe TO,43.650063279511016,-79.37458664523871,Creperie
St. James Town,43.6514939,-79.3754179,Terroni,43.650927,-79.375602,Italian Restaurant
St. James Town,43.6514939,-79.3754179,Pearl Diver,43.651481290733734,-79.37359954211877,Gastropub
St. James Town,43.6514939,-79.3754179,GEORGE Restaurant,43.65334645635036,-79.3744449051126,Restaurant
St. James Town,43.6514939,-79.3754179,Versus Coffee,43.65121343781903,-79.37523564828548,Coffee Shop
St. James Town,43.6514939,-79.3754179,NAMI,43.650853361785124,-79.37588746641697,Japanese Restaurant
St. James Town,43.6514939,-79.3754179,St James Anglican Cathedral,43.650109744784004,-79.37429172248066,Church
St. James Town,43.6514939,-79.3754179,Fahrenheit Coffee,43.65238358726612,-79.37271903848271,Coffee Shop
St. James Town,43.6514939,-79.3754179,Aveda Institute Toronto,43.65009640955562,-79.37362952211767,Cosmetics Shop
St. James Town,43.6514939,-79.3754179,Triple A Bar (AAA),43.65165840099557,-79.3727201723461,BBQ Joint
St. James Town,43.6514939,-79.3754179,Hawthorne Food and Drink,43.652270129568336,-79.37631758327606,Gastropub
St. James Town,43.6514939,-79.3754179,Mystic Muffin,43.652483550499326,-79.37265472845176,Middle Eastern Restaurant
St. James Town,43.6514939,-79.3754179,The Carbon Bar,43.65336708689279,-79.37496515174824,Restaurant
St. James Town,43.6514939,-79.3754179,Cambridge Suites Toronto,43.65183649475983,-79.37810738045548,Hotel
St. James Town,43.6514939,-79.3754179,Sam James Coffee Bar (SJCB),43.65031871629752,-79.37621650642859,Coffee Shop
St. James Town,43.6514939,-79.3754179,Vintage Conservatory,43.6522291429876,-79.37348666333094,Speakeasy
St. James Town,43.6514939,-79.3754179,The Poké Box,43.65046931503178,-79.37631703952829,Poke Place
St. James Town,43.6514939,-79.3754179,Carisma,43.64961671774303,-79.3754337751762,Italian Restaurant
St. James Town,43.6514939,-79.3754179,La Bettola Di Terroni,43.65199330592565,-79.37805579614488,Italian Restaurant
St. James Town,43.6514939,-79.3754179,HI-Toronto Hostel,43.650623213878255,-79.37519039641123,Hostel
St. James Town,43.6514939,-79.3754179,Downtown Camera,43.653107,-79.37512,Camera Store
St. James Town,43.6514939,-79.3754179,Pizzaiolo,43.65020573236071,-79.37618378615609,Pizza Place
St. James Town,43.6514939,-79.3754179,Bob's Bulgogi,43.65190800954796,-79.37752300562582,Korean Restaurant
Berczy Park,43.6447708,-79.3733064,LCBO,43.64294379917171,-79.37243989044406,Liquor Store
Berczy Park,43.6447708,-79.3733064,The Keg Steakhouse + Bar,43.64667637593993,-79.37482154865866,Steakhouse
Berczy Park,43.6447708,-79.3733064,Eggspectation,43.646526,-79.375134,Breakfast Spot
Central Bay Street,43.6579524,-79.3873826,Jimmy's Coffee,43.65842123574496,-79.38561319551111,Coffee Shop
Central Bay Street,43.6579524,-79.3873826,Tim Hortons,43.658569999999976,-79.38512341104502,Coffee Shop
Central Bay Street,43.6579524,-79.3873826,Somethin' 2 Talk About,43.65839479027968,-79.38533765920816,Middle Eastern Restaurant
Central Bay Street,43.6579524,-79.3873826,Panago,43.65825817735338,-79.38431282558368,Pizza Place
Central Bay Street,43.6579524,-79.3873826,Bubble Bath & Spa,43.65904951746615,-79.38534357912432,Spa
Central Bay Street,43.6579524,-79.3873826,Starbucks,43.6595874273128,-79.3852515870617,Coffee Shop
Central Bay Street,43.6579524,-79.3873826,Starbucks,43.65855667717368,-79.39019554279864,Coffee Shop
Central Bay Street,43.6579524,-79.3873826,Tim Hortons,43.6573986,-79.3883129,Coffee Shop
Central Bay Street,43.6579524,-79.3873826,Indigo,43.65773818776676,-79.38966149215145,Bookstore
Central Bay Street,43.6579524,-79.3873826,Starbucks,43.65757168579201,-79.38667021579539,Coffee Shop
Central Bay Street,43.6579524,-79.3873826,Starbucks,43.65602357573824,-79.38877766280795,Coffee Shop
Central Bay Street,43.6579524,-79.3873826,Booster Juice,43.65865699,-79.38868207,Smoothie Shop
Central Bay Street,43.6579524,-79.3873826,Shoppers Drug Mart,43.6572159889221,-79.38842260927258,Pharmacy
Central Bay Street,43.6579524,-79.3873826,Subway,43.65746095911212,-79.38647880368448,Sandwich Place
Central Bay Street,43.6579524,-79.3873826,Subway,43.65946709895447,-79.38824850471555,Sandwich Place
Central Bay Street,43.6579524,-79.3873826,Second Cup,43.65763711605256,-79.3895120341753,Café
Central Bay Street,43.6579524,-79.3873826,Aroma Espresso Bar,43.658927676749364,-79.38990298985978,Café
Central Bay Street,43.6579524,-79.3873826,Pizzeria Via Mercanti,43.65679034740686,-79.38631071713952,Italian Restaurant
Central Bay Street,43.6579524,-79.3873826,Tim Hortons,43.657396754910025,-79.39000236526671,Coffee Shop
Central Bay Street,43.6579524,-79.3873826,Thai Express,43.655835,-79.38813,Thai Restaurant
Central Bay Street,43.6579524,-79.3873826,Tim Hortons,43.658599,-79.388498,Coffee Shop
Central Bay Street,43.6579524,-79.3873826,Tim Hortons,43.659695,-79.388706,Coffee Shop
Central Bay Street,43.6579524,-79.3873826,Druxy's,43.65574396896198,-79.38697354092464,Deli / Bodega
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Four Seasons Centre for the Performing Arts,43.650592,-79.385806,Concert Hall
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,The Keg Steakhouse & Bar,43.649937252985254,-79.38419604942506,Steakhouse
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Rosalinda,43.650252483069295,-79.38515575620075,Vegetarian / Vegan Restaurant
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Nathan Phillips Square,43.65227047322295,-79.38351631164551,Plaza
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Shangri-La Toronto,43.64912919417502,-79.3865566853963,Hotel
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Estiatorio Volos,43.65032912559998,-79.38453301297716,Greek Restaurant
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Assembly Chef's Hall,43.650578865093934,-79.3834119303614,Food Court
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Bosk at Shangri-La,43.649022736761516,-79.38582635521233,Asian Restaurant
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Hy's Steakhouse,43.649504756476944,-79.38291850488223,Steakhouse
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,M Square Coffee Co,43.65121797253777,-79.38355459932247,Coffee Shop
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Canadian Opera Company,43.6506601893789,-79.38624169559013,Opera House
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Boxcar Social Temperance,43.65055725249405,-79.38195634640063,Bar
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Cafe Landwer,43.64875349932059,-79.3853673607289,Café
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,John & Sons Oyster House,43.65065642537144,-79.38161285228475,Seafood Restaurant
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Hilton Toronto,43.6501425,-79.3854884,Hotel
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Ruth's Chris Steak House,43.6499174,-79.3857238,Steakhouse
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Noodle King,43.65170632794881,-79.38304628912547,Asian Restaurant
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Bulldog On The Block,43.65065218852629,-79.38414092873634,Coffee Shop
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Momofuku Noodle Bar,43.6493658716176,-79.38621652451032,Noodle House
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Lobby Lounge at the Shangri-La Toronto,43.64915499986854,-79.38654574367817,Lounge
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,DAVIDsTEA,43.650546552943766,-79.38338493349875,Tea Room
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Toronto PATH System,43.64990340698978,-79.3830527039004,General Travel
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Pi Co.,43.648651,-79.385874,Pizza Place
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Kojin,43.64939770725357,-79.38609106624851,Colombian Restaurant
"Adelaide, King, Richmond",43.65057120000001,-79.3845675,Reds Wine Tavern,43.64957038171473,-79.38212873483711,Gastropub
"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.38175229999997,Harbourfront,43.639525632239106,-79.38068838052389,Neighborhood
"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.38175229999997,BeaverTails,43.63989909345207,-79.380196784021,Bakery
"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.38175229999997,Roundhouse Park,43.64174513889102,-79.38427882922346,Park
"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.38175229999997,Longo's Maple Leaf Square,43.64251679604069,-79.38139301653129,Supermarket
"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.38175229999997,iQ Food Co,43.642851,-79.382081,Salad Place
"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.38175229999997,Sharetea-Waterfront,43.640175967763966,-79.37960567018246,Bubble Tea Shop
"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.38175229999997,Evviva Restaurant,43.64157991761808,-79.38345644030795,Deli / Bodega
"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.38175229999997,Aroma Espresso Bar,43.6423209103846,-79.38374932648954,Café
"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.38175229999997,e11even,43.64242558687748,-79.38144094115985,New American Restaurant
"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.38175229999997,Maple Leaf Square,43.64292522840183,-79.38089182467687,Plaza
"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.38175229999997,Taverna Mercatto,43.64262514139939,-79.38325673989138,Italian Restaurant
